Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,-0.0147,2.3517,0,922
JUN 23,-,-,-,-,-0.033,2.3524,0,1755
JLY 23,-,-,-,-,-0.0308,2.3517,4,1128
AUG 23,-,-,-,-,-0.0294,2.357,4,986
SEP 23,-,-,-,-,-0.0281,2.3613,4,964
OCT 23,-,-,-,-,-0.0265,2.3611,4,817
NOV 23,-,-,-,-,-0.026,2.3565,4,764
DEC 23,-,-,-,-,-0.0251,2.355,4,1733
JAN 24,-,-,-,-,-0.024,2.3501,0,588
FEB 24,-,-,-,-,-0.0231,2.3393,0,486
MAR 24,-,-,-,-,-0.0228,2.3211,0,493
APR 24,-,-,-,-,-0.0237,2.3105,0,323
MAY 24,-,-,-,-,-0.0249,2.3024,0,315
JUN 24,-,-,-,-,-0.0257,2.2986,0,313
JLY 24,-,-,-,-,-0.0259,2.2959,0,226
AUG 24,-,-,-,-,-0.0261,2.2939,0,204
SEP 24,-,-,-,-,-0.0257,2.2932,0,206
OCT 24,-,-,-,-,-0.0254,2.2915,0,213
NOV 24,-,-,-,-,-0.0254,2.2889,0,214
DEC 24,-,-,-,-,-0.0254,2.2863,0,211
JAN 25,-,-,-,-,-0.0254,2.2848,0,15
FEB 25,-,-,-,-,-0.0254,2.2803,0,14
MAR 25,-,-,-,-,-0.0254,2.2664,0,15
APR 25,-,-,-,-,-0.0254,2.2604,0,14
MAY 25,-,-,-,-,-0.0254,2.2522,0,14
JUN 25,-,-,-,-,-0.0254,2.2547,0,14
JLY 25,-,-,-,-,-0.0254,2.255,0,15
AUG 25,-,-,-,-,-0.0254,2.2512,0,15
SEP 25,-,-,-,-,-0.0254,2.2473,0,14
OCT 25,-,-,-,-,-0.0254,2.2399,0,15
NOV 25,-,-,-,-,-0.0254,2.2295,0,14
DEC 25,-,-,-,-,-0.0254,2.236,0,15
JAN 26,-,-,-,-,-0.0254,2.235,0,1
FEB 26,-,-,-,-,-0.0254,2.2308,0,1
MAR 26,-,-,-,-,-0.0254,2.22,0,1
APR 26,-,-,-,-,-0.0254,2.2076,0,1
MAY 26,-,-,-,-,-0.0254,2.1932,0,1
JUN 26,-,-,-,-,-0.0254,2.1961,0,1
JLY 26,-,-,-,-,-0.0254,2.194,0,0
AUG 26,-,-,-,-,-0.0254,2.1894,0,0
SEP 26,-,-,-,-,-0.0254,2.1881,0,0
OCT 26,-,-,-,-,-0.0254,2.1816,0,0
NOV 26,-,-,-,-,-0.0254,2.167,0,0
DEC 26,-,-,-,-,-0.0254,2.1739,0,0
Title: NY Harbor ULSD Financial
Last Updated Date: Last Updated 19 May 2023 10:32:00 PM CT
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
Month,Open,High,Low,Last,Change,Settle,Est. Volume,Prior day OI
MAY 23,-,-,-,-,-0.0147,2.3517,0,922
JUN 23,-,-,-,-,-0.033,2.3524,0,1755
JLY 23,-,-,-,-,-0.0308,2.3517,4,1128
AUG 23,-,-,-,-,-0.0294,2.357,4,986
SEP 23,-,-,-,-,-0.0281,2.3613,4,964
OCT 23,-,-,-,-,-0.0265,2.3611,4,817
NOV 23,-,-,-,-,-0.026,2.3565,4,764
DEC 23,-,-,-,-,-0.0251,2.355,4,1733
JAN 24,-,-,-,-,-0.024,2.3501,0,588
FEB 24,-,-,-,-,-0.0231,2.3393,0,486
MAR 24,-,-,-,-,-0.0228,2.3211,0,493
APR 24,-,-,-,-,-0.0237,2.3105,0,323
MAY 24,-,-,-,-,-0.0249,2.3024,0,315
JUN 24,-,-,-,-,-0.0257,2.2986,0,313
JLY 24,-,-,-,-,-0.0259,2.2959,0,226
AUG 24,-,-,-,-,-0.0261,2.2939,0,204
SEP 24,-,-,-,-,-0.0257,2.2932,0,206
OCT 24,-,-,-,-,-0.0254,2.2915,0,213
NOV 24,-,-,-,-,-0.0254,2.2889,0,214
DEC 24,-,-,-,-,-0.0254,2.2863,0,211
JAN 25,-,-,-,-,-0.0254,2.2848,0,15
FEB 25,-,-,-,-,-0.0254,2.2803,0,14
MAR 25,-,-,-,-,-0.0254,2.2664,0,15
APR 25,-,-,-,-,-0.0254,2.2604,0,14
MAY 25,-,-,-,-,-0.0254,2.2522,0,14
JUN 25,-,-,-,-,-0.0254,2.2547,0,14
JLY 25,-,-,-,-,-0.0254,2.255,0,15
AUG 25,-,-,-,-,-0.0254,2.2512,0,15
SEP 25,-,-,-,-,-0.0254,2.2473,0,14
OCT 25,-,-,-,-,-0.0254,2.2399,0,15
NOV 25,-,-,-,-,-0.0254,2.2295,0,14
DEC 25,-,-,-,-,-0.0254,2.236,0,15
JAN 26,-,-,-,-,-0.0254,2.235,0,1
FEB 26,-,-,-,-,-0.0254,2.2308,0,1
MAR 26,-,-,-,-,-0.0254,2.22,0,1
APR 26,-,-,-,-,-0.0254,2.2076,0,1
MAY 26,-,-,-,-,-0.0254,2.1932,0,1
JUN 26,-,-,-,-,-0.0254,2.1961,0,1
JLY 26,-,-,-,-,-0.0254,2.194,0,0
AUG 26,-,-,-,-,-0.0254,2.1894,0,0
SEP 26,-,-,-,-,-0.0254,2.1881,0,0
OCT 26,-,-,-,-,-0.0254,2.1816,0,0
NOV 26,-,-,-,-,-0.0254,2.167,0,0
DEC 26,-,-,-,-,-0.0254,2.1739,0,0
